Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;LORRAINE TGV;87142109;VENDOME VILLIERS SUR LOIR;87571216;1;Tarif Avantage;21.5;114.0
TGV INOUI;CULOZ;87741074;MACON LOCHE TGV;87725705;2;Tarif Avantage;8.6;17.5
TGV INOUI;LA BAULE ESCOUBLAC;87481754;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;1;Tarif Avantage;20.5;115.0
TGV INOUI;STRASBOURG;87212027;BOURG ST MAURICE;87741793;1;Tarif Avantage;21.5;114.0
TGV INOUI;MARMANDE;87586545;MONTAUBAN VILLE BOURBON;87611244;2;Tarif Avantage;8.6;17.5
TGV INOUI;LE CROISIC;87481788;PARIS AUSTERLITZ;87547000;1;Tarif Avantage;20.5;115.0
TGV INOUI;LYON PART DIEU;87723197;MONTPELLIER SUD DE FRANCE;87688887;1;Tarif Normal;24.5;114.0
TGV INOUI;RENNES;87471003;ST BRIEUC;87473009;2;Tarif Avantage;10.5;17.5
TGV INOUI;LE CROISIC;87481788;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;1;Tarif Avantage;20.5;115.0
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;MONTPELLIER SUD DE FRANCE;87688887;1;Tarif Normal;24.5;114.0
TGV INOUI;ANTIBES;87757674;LES ARCS DRAGUIGNAN;87755447;2;Tarif Réglementé;13.38;17.53
TGV INOUI;LE POULIGUEN;87481762;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;1;Tarif Avantage;20.5;115.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;ECOLE VALENTIN;87710731;1;Tarif Réglementé;114.22;114.22
TGV INOUI;BELLEGARDE GARE;87745000;EVIAN LES BAINS;87745679;2;Tarif Réglementé;13.38;17.53
TGV INOUI;LES SABLES D'OLONNE;87486449;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Avantage;20.5;115.0
TGV INOUI;AIME LA PLAGNE;87741769;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Réglementé;114.22;114.22
TGV INOUI;BEZIERS;87781005;MONTPELLIER SUD DE FRANCE;87688887;2;Tarif Réglementé;13.38;17.53
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;LES ARCS DRAGUIGNAN;87755447;1;Tarif Avantage;20.5;115.0
TGV INOUI;BOURG ST MAURICE;87741793;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Réglementé;114.22;114.22
TGV INOUI;LANNION;87473223;ST BRIEUC;87473009;2;Tarif Réglementé;13.38;17.53
TGV INOUI;MASSY TGV;87393702;LE CROISIC;87481788;1;Tarif Avantage;20.5;115.0
TGV INOUI;LAROCHE MIGENNES;87683268;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Réglementé;114.22;114.22
